unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,ads_sdk_received_count,total_count
1785862800,PaywallShown,1,0,0,0,0,0,1
1785949200,PaywallShown,2,0,0,0,0,0,2
1785952800,PaywallShown,1,0,0,0,0,0,1
Download our Terms for Facebook Business Tools at https://www.facebook.com/legal/terms/businesstools/update
